identifier,creatureType,Time,CanReproduce,CanGrow,CanAttack,Energy,MaxEnergy,Size,Age,Activity,herbivores,carnivores,plants,herbivores_e,carnivores_e,plants_e
0,0,0,0,0,0,0.9999,5,1,0.011,1,5,2,20,5,2,20.2
1,0,0,0,0,0,0.9999,5,1,0.011,1,5,2,20,5,2,20.2
2,0,0,0,0,0,0.9999,5,1,0.011,1,5,2,20,5,2,20.2
3,0,0,0,0,0,0.9999,5,1,0.011,1,5,2,20,5,2,20.2
4,0,0,0,0,0,0.9999,5,1,0.011,1,5,2,20,5,2,20.2
5,1,0,0,0,0,0.9999,10,1,0.011,1,5,2,20,5,2,20.2
6,1,0,0,0,0,0.9999,10,1,0.011,1,5,2,20,5,2,20.2
0,0,0,0,0,0,0.9998,5,1,0.012,1,5,2,20,5,2,20.40001
1,0,0,0,0,0,0.9998,5,1,0.012,1,5,2,20,5,2,20.40001
2,0,0,0,0,0,0.9998,5,1,0.012,1,5,2,20,5,2,20.40001
3,0,0,0,0,0,0.9998,5,1,0.012,1,5,2,20,5,2,20.40001
4,0,0,0,0,0,0.9998,5,1,0.012,1,5,2,20,5,2,20.40001
5,1,0,0,0,0,0.9998,10,1,0.012,1,5,2,20,5,2,20.40001
6,1,0,0,0,0,0.9998,10,1,0.012,1,5,2,20,5,2,20.40001
0,0,0,0,0,0,0.9997,5,1,0.013,1,5,2,20,5,2,20.6
1,0,0,0,0,0,0.9997,5,1,0.013,1,5,2,20,5,2,20.6
2,0,0,0,0,0,0.9997,5,1,0.013,1,5,2,20,5,2,20.6
3,0,0,0,0,0,0.9997,5,1,0.013,1,5,2,20,5,2,20.6
4,0,0,0,0,0,0.9997,5,1,0.013,1,5,2,20,5,2,20.6
5,1,0,0,0,0,0.9997,10,1,0.013,1,5,2,20,5,2,20.6
6,1,0,0,0,0,0.9997,10,1,0.013,1,5,2,20,5,2,20.6
0,0,0,0,0,0,0.9995999,5,1,0.014,1,5,2,20,5,2,20.8
1,0,0,0,0,0,0.9995999,5,1,0.014,1,5,2,20,5,2,20.8
2,0,0,0,0,0,0.9995999,5,1,0.014,1,5,2,20,5,2,20.8
3,0,0,0,0,0,0.9995999,5,1,0.014,1,5,2,20,5,2,20.8
4,0,0,0,0,0,0.9995999,5,1,0.014,1,5,2,20,5,2,20.8
5,1,0,0,0,0,0.9995999,10,1,0.014,1,5,2,20,5,2,20.8
6,1,0,0,0,0,0.9995999,10,1,0.014,1,5,2,20,5,2,20.8
0,0,0,0,0,0,0.9994999,5,1,0.015,1,5,2,20,5,2,21
1,0,0,0,0,0,0.9994999,5,1,0.015,1,5,2,20,5,2,21
2,0,0,0,0,0,0.9994999,5,1,0.015,1,5,2,20,5,2,21
3,0,0,0,0,0,0.9994999,5,1,0.015,1,5,2,20,5,2,21
